Designator,Mid X,Mid Y,Rotation,Layer
D1,123.825,-72.86625,90.0,bottom
D10,200.025,-89.535,90.0,bottom
D2,142.875,-72.86625,90.0,bottom
D3,161.925,-72.86625,90.0,bottom
D4,180.975,-72.86625,90.0,bottom
D5,200.025,-72.86625,90.0,bottom
D6,123.825,-89.535,90.0,bottom
D7,142.875,-89.535,90.0,bottom
D8,161.925,-89.535,90.0,bottom
D9,180.975,-89.535,90.0,bottom
SW1,114.14125,-64.585,0.0,top
SW10,190.5,-83.635,0.0,top
SW11,216.44375,-64.29375,0.0,top
SW2,133.35,-64.585,0.0,top
SW3,152.4,-64.585,0.0,top
SW4,171.45,-64.585,0.0,top
SW5,190.5,-64.585,0.0,top
SW6,114.3,-83.635,0.0,top
SW7,133.35,-83.635,0.0,top
SW8,152.4,-83.635,0.0,top
SW9,171.45,-83.635,0.0,top
U1,216.69375,-85.725,270.0,top
