Designator,Mid X,Mid Y,Rotation,Layer
C1,159.67175,-145.200375,0.0,bottom
C2,140.63175,-145.200375,0.0,bottom
C3,120.64175,-145.200375,0.0,bottom
C4,120.61425,-127.945375,0.0,bottom
C5,102.49425,-133.952875,90.0,bottom
C7,158.48175,-127.647875,0.0,bottom
C8,139.44175,-127.945375,0.0,bottom
C9,179.84425,-137.820375,90.0,bottom
D1,121.73425,-120.979125,90.0,bottom
D11,169.09925,-142.242875,180.0,bottom
D12,148.57175,-123.465375,180.0,bottom
D13,130.79175,-142.207875,180.0,bottom
D14,149.53425,-142.540375,180.0,bottom
D15,169.39675,-123.169125,180.0,bottom
D16,110.19425,-142.505375,180.0,bottom
D17,130.12675,-123.134125,180.0,bottom
D19,111.75175,-123.465375,180.0,bottom
D2,139.411,-120.979125,90.0,bottom
D3,158.461,-120.979125,90.0,bottom
D4,177.511,-120.979125,90.0,bottom
D6,121.73425,-137.647875,90.0,bottom
D7,139.411,-137.647875,90.0,bottom
D8,158.461,-137.647875,90.0,bottom
D9,177.511,-137.647875,90.0,bottom
R1,181.31175,-144.902875,0.0,bottom
SW1,111.7305,-112.697875,0.0,top
SW11,187.733,-112.406625,0.0,top
SW2,130.93925,-112.697875,0.0,top
SW3,149.98925,-112.697875,0.0,top
SW4,169.03925,-112.697875,0.0,top
SW6,111.88925,-131.747875,0.0,top
SW7,130.93925,-131.747875,0.0,top
SW8,149.98925,-131.747875,0.0,top
SW9,169.03925,-131.747875,0.0,top
U1,189.45175,-134.077875,270.0,top
